source,text,created_at,retweet_count,favorite_count,word_count,sentiment
Twitter for iPhone,It is great – keep it there for a long time!,Tue May 21 22:00:15 +0000 2019,12997,49288,10,0.15811388300841897
Twitter for iPhone,https://t.co/3F1xybks0R,Tue May 21 22:00:15 +0000 2019,12997,49288,6,0
Twitter for iPhone,"Johnny, we will miss you – you did a great job!",Tue May 21 21:53:23 +0000 2019,7952,38337,10,-0.15811388300841897
Twitter for iPhone,https://t.co/eXaASLgeSh,Tue May 21 21:53:23 +0000 2019,7952,38337,4,0
Twitter for iPhone,"So even though I didn’t have to do it with Presidential Privilege, I allowed everyone to testify, including White House Counsel Don McGahn (for over 30 hours), to Robert Mueller and the 18 Angry Trump-Hating Democrats, and they arrived....",Tue May 21 21:22:52 +0000 2019,17601,80208,39,0.048038446141526144
Twitter for iPhone,....,Tue May 21 21:22:52 +0000 2019,15753,72996,NA,0
Twitter for iPhone,at a conclusion of NO COLLUSION and NO OBSTRUCTION!,Tue May 21 21:22:52 +0000 2019,15753,72996,9,-0.3333333333333333
Twitter for iPhone,"The Dems were unhappy with the outcome of the $40M Mueller Report, so now they want a do-over.",Tue May 21 21:22:52 +0000 2019,15753,72996,19,-0.22941573387056174
Twitter for iPhone,"I am pleased to announce my nomination of Barbara Barrett of Arizona, and former Chairman of the Aerospace Corporation, to be the next Secretary of the Air Force.",Tue May 21 20:52:46 +0000 2019,13713,61960,28,0.1417366773784602
Twitter for iPhone,She will be an outstanding Secretary!,Tue May 21 20:52:46 +0000 2019,13713,61960,6,0.3061862178478973
Twitter for iPhone,#FlyFightWin,Tue May 21 20:52:46 +0000 2019,13713,61960,1,0
Twitter for iPhone,Pennsylvania - Don’t forget to get out and VOTE TODAY for Republican Fred Keller for Congress.,Tue May 21 16:38:40 +0000 2019,14534,54406,16,-0.125
Twitter for iPhone,"Fred is Strong on Crime, Second Amendment, Military, Vets, and Healthcare.",Tue May 21 16:38:40 +0000 2019,14534,54406,11,-0.07537783614444091
Twitter for iPhone,He has my Complete and Total Endorsement!,Tue May 21 16:38:40 +0000 2019,14534,54406,7,0.1889822365046136
